lfq_intensity_lean_1	lfq_intensity_lean_2	lfq_intensity_lean_3	lfq_intensity_lean_4	lfq_intensity_ob_1	lfq_intensity_ob_2	lfq_intensity_ob_3	lfq_intensity_ob_4
Luc7l	26.6739154188703	26.5840883760927	26.5306139207739	27.5307321088972	26.249702448097	26.2476097575749	25.3724961380385	26.2859065516643
Prmt5	28.3877688142299	28.5156524295755	28.660131370475	28.4146404684487	28.2923948275638	28.394270823111	27.8347359908524	28.2934368378823
Acy1	30.9231058770892	30.9016605317821	30.7467528419928	29.9011669145311	29.6542710769448	29.6181102356223	30.6271992788518	30.696255655265
Atg4b	27.8710767444306	28.1651251847242	28.0956797244076	28.5650373911204	27.5958970701132	26.1494509624089	27.3831358213155	27.1956664673927
Scly	30.118282571196	30.5234158475983	30.5209507909706	29.6818948036627	29.2339170695009	29.6402431664943	30.2572283071254	30.4571345192192
Ubxn4	31.4944745756319	31.2992058469354	31.1702316894999	31.6363232474893	31.3925076158069	31.3588228613482	31.4623991446159	31.4978340061702
Acbd3	28.1591965930498	28.3770637633645	28.2942683654217	28.855843134814	28.6979267213844	28.8237401605478	28.3800477972162	28.4599881865753
Ndufaf1	28.7012949303107	28.3373329209921	28.4282923720713	29.3608341163342	28.7906338668078	28.4723050145186	28.6558676203136	28.4906420588497
Acadl	33.6121478932405	33.527801760952	33.5371802743991	32.8589609335761	33.5444949503445	32.7172946065582	34.4462997616213	33.9961606885764
Uap1	29.3301463523006	29.1001768091268	29.2393518911262	29.6418370690344	29.1318567725079	29.966226366413	29.4149934035745	29.2587271958414
Cd1d1;Cd1d2	28.8040255089715	29.1053087755836	28.837676979772	28.7969226151911	28.4657648807988	27.910371481727	28.5546160869405	28.6107290252962
Manba	29.5196966811197	29.2322597145253	29.1512318720232	29.3097549574127	28.9059007151099	28.6909602440341	28.2026206735573	28.2272531986171
Cmpk1	31.984806669818	31.9812266650863	31.8834294244892	32.2853154708154	32.508816973223	32.8571489536053	32.7169866226822	32.9125076485451
Fahd2	29.6878207562751	29.7214915939639	29.7412167573036	29.7572237661275	29.0238033782748	29.4758767081125	29.8721083307179	29.8973061331361
Znf326;Zfp326	28.2372713369061	27.8517160218982	28.2054788369149	28.5251824552538	27.9549290571788	28.529804662282	28.1747656546845	27.7135818122982
Mark2	27.4163042565262	27.3857431794019	27.1291982595276	27.7646888977271	27.899116474539	27.770068745694	27.4978372666951	27.2993773369277
Plbd1	28.2181090166114	28.0537478577873	28.0418543958773	27.2652819362658	27.7556942947349	25.3102842613656	27.9552712998235	27.88242781155
Cmas	30.4723062628297	30.1188423296903	30.1523064557287	30.2424072914937	30.9088297853865	30.5635746089972	30.8900592155748	30.5489203250793
BC017158	28.9658031815896	28.8282951931382	28.8951703343716	29.3449583167544	28.7619863440766	29.2137387434943	28.3790108658096	28.3472334176338
Abcg2	30.3862581267571	29.850790831722	30.159494869006	29.6177167055232	29.7335504859561	30.3580047719834	29.5852897557218	29.7461666288147
Saraf	26.4948454328485	26.6175224128238	26.3694385122899	26.6275951781987	26.2917618201566	25.5429389532738	26.2525968450924	26.6354576831994
Stt3b	30.0391321887185	30.2780613080875	29.9898058032351	30.2170809010367	30.1239694293275	30.6345513884646	30.7934407412125	30.1268526077266
Fgl1	26.8412245908952	29.1075718593242	28.19848020187	28.1043361560842	27.9900485378669	27.5642948080641	27.4631592262786	27.0288915030951
Ints7	26.8550832034345	27.2393269409025	27.1373351563265	27.1918456854736	26.9123732496518	27.3797017966694	27.0060038518027	27.0185292575118
Gak	28.5329102606192	28.6371806888096	28.7491708223747	28.5273745251138	28.0189767064481	28.4599751452584	28.4466027827745	28.1550652769277
Pck2	27.5060703675812	27.9933654418356	27.7280945357827	28.0689413810414	28.2475604826845	28.2814604136399	28.132027218492	28.4852770995792
Fndc3b	25.8040565336593	26.7260049265672	26.3916986642241	25.943712405213	26.1580063109141	25.1613860387438	25.9074280534462	25.6314646856648
Serpina3k	33.1668754299882	33.027548885169	33.0214703564649	32.3029761412627	31.1877609783178	31.0596915005769	31.4840090450337	31.7331803536547
Acad11	33.3112276591131	33.441094729551	33.3557860020389	33.0591278105831	33.7255705052326	33.3125170028182	34.1500662629085	34.0065983131374
Lrp1	32.8076358569789	33.0504277805758	32.724336995848	32.668685062576	32.3186206564873	32.2978926124842	32.1520005319365	32.1287825205548
Palmd	28.7074368581419	28.6517479978764	28.715703014655	29.219014987485	29.0857259517555	28.9940778092747	29.289356880701	29.3240040926009
Thoc5	24.9776617185765	24.9997599689005	24.9684176076432	25.8393782899625	25.8542625781426	25.8356578979513	24.6993343434815	25.5018980952009
Sep15	28.7780767108978	28.8918795095366	28.8454046230105	29.0446295954494	28.6099266324365	24.9377206316615	28.04795266648	28.2297029778176
Ckap5	28.8796082006354	28.9406046414014	28.9016820184539	28.8804116560504	28.1443391133896	28.9868146734036	28.8871005703296	28.5360332503137
Tm7sf3	23.9018667433238	24.9786113343092	24.7661430285124	25.6827179710512	26.2563427906237	26.6706555487346	24.6242741247713	25.5783636299133
Cog6	26.9233812280989	26.7938372903387	26.9859211982735	28.0544595581117	27.737315617346	28.0689863357927	27.6021083474174	27.3196239125739
Mrps35	28.6938284559298	28.680703252334	28.5924928180274	29.3795656014619	29.7265171666593	29.1810839940558	28.3958549864635	28.1293229761742
Tbcc	26.1817997241823	26.6819730165934	26.4343194855857	26.9925788511332	26.9478485909247	25.9236240278486	26.6776959352773	26.4828763193561
Vcpip1	27.8258517713893	27.995514072221	27.7720721173754	28.4757716450713	28.3528635114187	28.8428405266901	27.5628947625785	28.1007082280898
